Gene = AT2G01100
Index = 0
Length = 1778

Annotated 5'SS: [73]
Annotated 3'SS: [296]
SMsplice 5'SS: [ 73 361]
SMsplice 3'SS: [296 779]

Partition function (log Z): -7.295376685166809
#Introns = 94

5'SS, 3'SS, Intron Score
73, 296, 0.8664483132622304
361, 779, 0.5875700597786132
361, 676, 0.11295330817143148
361, 1075, 0.07037063479331729
361, 643, 0.029858837035010452
361, 787, 0.02510942082250634
361, 469, 0.0213541054346004
361, 816, 0.021169416112301564
361, 653, 0.020460779323251983
361, 497, 0.018146095168015713
200, 296, 0.009702253287790591
186, 296, 0.009413444620082964
214, 296, 0.008379193678143892
937, 1075, 0.00824383463421135
361, 828, 0.006753570644084622
208, 296, 0.005750343934481048
180, 296, 0.00573408772759444
361, 501, 0.004249900885735212
73, 149, 0.004156861978889774
73, 779, 0.00393516863702897
361, 819, 0.003861613032149975
998, 1075, 0.0037879976692813235
361, 891, 0.003453617280846152
73, 262, 0.00315603937758517
1545, 1748, 0.0024483608731419647
73, 267, 0.0020639996991461337
361, 550, 0.0019975068685548444
73, 221, 0.0016359350511092805
221, 296, 0.0014532141551778504
497, 779, 0.0012368897752476052
602, 676, 0.0011935447447286095
73, 257, 0.0011699500843934123
602, 779, 0.0011290138571969494
1545, 1646, 0.0010672028666558946
361, 745, 0.0010089735224020147
73, 304, 0.0008522801021264522
73, 676, 0.0007663883365757725
361, 593, 0.0007464627993860168
361, 610, 0.0006520507928232314
741, 816, 0.0005212856107957064
579, 676, 0.00032116536996496187
154, 296, 0.0001668712193822337
73, 339, 0.0001319981568505
42, 296, 8.475777877251578e-05
53, 296, 6.809883663541822e-05
73, 178, 6.201355751714592e-05
180, 262, 6.01901335308622e-05
186, 262, 4.880235099286719e-05
186, 267, 4.747754622028976e-05
180, 267, 4.411748304429792e-05
61, 296, 4.08195721012132e-05
180, 257, 1.6690074498491917e-05
186, 257, 9.795633689159863e-06
214, 304, 8.385219956010159e-06
186, 304, 6.494434463461973e-06
200, 304, 5.916426311062104e-06
368, 779, 5.6921970699895545e-06
373, 779, 4.451497049981265e-06
180, 304, 4.380203646149281e-06
384, 779, 4.233629175356481e-06
208, 304, 4.2152042152899415e-06
200, 267, 3.740591106750953e-06
221, 304, 2.5664400997490897e-06
497, 676, 2.519400086200606e-06
73, 497, 2.008284707256219e-06
200, 262, 1.7090385827891332e-06
154, 262, 1.4782118514975067e-06
384, 469, 9.144179527939036e-07
373, 469, 7.682664352067447e-07
154, 267, 7.664274626338583e-07
73, 469, 7.661840260113085e-07
154, 257, 7.587447543943435e-07
368, 469, 7.534355306103095e-07
384, 497, 7.481514546370471e-07
368, 497, 6.353341537023786e-07
373, 497, 5.486881699367852e-07
186, 339, 5.460263363543616e-07
402, 497, 4.7268915465680203e-07
53, 149, 4.238999114081064e-07
180, 339, 3.8539569337466516e-07
497, 643, 3.6666464855186145e-07
61, 149, 3.242172466446986e-07
200, 339, 3.0902209554022853e-07
214, 339, 2.911550451573339e-07
42, 149, 2.878047465943808e-07
497, 653, 2.206762975301662e-07
368, 676, 1.6215590204970493e-07
208, 339, 1.607212185020295e-07
373, 676, 1.268115827220718e-07
221, 339, 1.1157654092725331e-07
42, 106, 3.476905295556801e-10
42, 178, 2.742281989914957e-10
53, 178, 2.712176163732543e-10
61, 178, 2.0294803135273172e-10
