Gene = AT2G01100
Index = 0
Length = 1778

Annotated 5'SS: [73]
Annotated 3'SS: [296]
SMsplice 5'SS: [ 73 361]
SMsplice 3'SS: [296 779]

Partition function (log Z): -7.295376685166809
#Exons = 97

3'SS, 5'SS, Exon Score
0, 73, 0.8843817227121875
296, 361, 0.8427958791663361
779, -1, 0.5809716636180141
676, -1, 0.11414909215211581
1075, -1, 0.0815082846456546
0, 361, 0.07576473479207367
296, -1, 0.06290134283474112
643, -1, 0.029691751074771646
787, -1, 0.02503003082209517
816, -1, 0.021198585727732703
653, -1, 0.02034372662326352
469, -1, 0.020343406304543538
497, -1, 0.017031132734477247
0, 200, 0.009350571041674033
0, 186, 0.009332181615290657
0, 214, 0.007898876560186818
779, 937, 0.007260856893023519
828, -1, 0.006753570644084622
0, 180, 0.005770114782205069
0, 208, 0.005470465609641425
501, -1, 0.0040241379394351665
819, -1, 0.003861613032149975
779, 998, 0.003787997669281317
891, -1, 0.003453617280846152
262, 361, 0.0031128500845108028
1748, -1, 0.0024483608731419647
149, 361, 0.002198637090494816
267, 361, 0.0020603788624355465
550, -1, 0.0019975068685548444
779, 1545, 0.0018649911910632061
221, 361, 0.0015136474748974568
0, 221, 0.0013513137951303422
296, 497, 0.0012399965162798884
257, 361, 0.0011971945373354578
1646, -1, 0.0010672028666558946
745, -1, 0.0010089735224020147
497, 602, 0.0009678460958587551
1075, 1545, 0.000894182451155343
304, 361, 0.0008842380308181749
469, 602, 0.0008446128039453704
593, -1, 0.0007464627993860168
610, -1, 0.0006520507928232314
676, 937, 0.0005665985456467938
149, 214, 0.0004864987522429652
149, -1, 0.00044011477629033135
816, 937, 0.00041637919554102584
149, 200, 0.000361872622934534
0, 1545, 0.00031629861445758113
676, 741, 0.00031582575489731186
296, 602, 0.0002843367558213864
149, 208, 0.0002829668394143841
501, 602, 0.0002257629463000487
676, 1545, 0.000205698537612049
149, 186, 0.00019361959984308524
469, 579, 0.00016928863005610104
0, 154, 0.00016900727165455363
262, -1, 0.00015536307694568664
497, 579, 0.00015152948531990082
339, 361, 0.00013380205378035588
221, -1, 0.0001222875762118214
643, 741, 0.00012136840864032575
149, 221, 0.00010393853939874842
267, -1, 9.972141366347364e-05
149, 180, 8.937804215530488e-05
0, 42, 8.504620543783882e-05
653, 741, 8.409144725806781e-05
787, 1545, 7.939000041117123e-05
816, 1545, 7.573679982354978e-05
0, 53, 6.852300776444278e-05
178, 361, 5.4990372345956246e-05
643, 1545, 4.608421624702844e-05
0, 61, 4.114399229588918e-05
653, 1545, 3.3181929027933155e-05
296, 368, 7.234741287120659e-06
296, 384, 5.89619858278744e-06
296, 373, 5.8919156001813075e-06
178, 214, 2.4946786233831508e-06
178, 200, 1.4846140336803116e-06
178, 208, 1.2873640652388541e-06
149, 154, 8.673309811374385e-07
178, 186, 7.593078171238415e-07
178, 221, 6.398270556139208e-07
296, 402, 4.7268915465680203e-07
178, 180, 3.5814196999630413e-07
296, 579, 3.47254588959345e-07
262, 368, 4.02219281504179e-09
149, 368, 2.888295326978016e-09
262, 373, 1.928893882817092e-09
267, 368, 1.470881089269036e-09
149, 373, 1.4187437827548778e-09
106, 186, 8.883422345105548e-11
106, 200, 8.724449019717782e-11
106, 214, 6.20918827304425e-11
106, 180, 5.167725071826786e-11
106, 208, 4.6793792973729545e-11
106, 221, 1.0233820882209812e-11
106, 154, 8.150686027971946e-13
